,HomeShots,HomeShotsOnTarget,HomeShotsFromPK,HomePasses,HomeCrosses,HomeDirectFK,HomeIndirectFK,HomeCK,HomeThrowin,HomeDribbling,HomeTackles,HomeClearances,HomeIntercepts,HomeOffsides,HomeYellowCards,HomeRedCards,Home30mLineEntries,HomePenaltyAreaEntries,HomeAttacks,HomeChanceBuildingRate,HomePossession,AwayShots,AwayShotsOnTarget,AwayShotsFromPK,AwayPasses,AwayCrosses,AwayDirectFK,AwayIndirectFK,AwayCK,AwayThrowin,AwayDribbling,AwayTackles,AwayClearances,AwayIntercepts,AwayOffsides,AwayYellowCards,AwayRedCards,Away30mLineEntries,AwayPenaltyAreaEntries,AwayAttacks,AwayChanceBuildingRate,AwayPossession
15022854,8.0,1.0,0.0,421.0,16.0,16.0,2.0,3.0,23.0,9.0,17.0,29.0,6.0,2.0,0.0,0.0,33.0,11.0,129.0,6.2,48.5,7.0,1.0,0.0,483.0,6.0,10.0,2.0,1.0,26.0,4.0,13.0,25.0,1.0,1.0,0.0,0.0,28.0,5.0,127.0,5.5,51.5
15022278,10.0,6.0,0.0,315.0,15.0,21.0,3.0,5.0,22.0,16.0,19.0,19.0,0.0,1.0,4.0,0.0,36.0,12.0,127.0,7.9,41.1,8.0,4.0,1.0,502.0,11.0,16.0,1.0,4.0,32.0,12.0,15.0,19.0,2.0,2.0,1.0,0.0,37.0,9.0,135.0,5.9,58.9
15020511,10.0,3.0,0.0,690.0,23.0,10.0,1.0,7.0,30.0,19.0,16.0,11.0,0.0,1.0,2.0,1.0,53.0,19.0,124.0,8.1,60.2,8.0,5.0,0.0,394.0,6.0,11.0,1.0,2.0,19.0,13.0,27.0,49.0,0.0,1.0,1.0,0.0,21.0,10.0,119.0,6.7,39.8
15020809,20.0,8.0,1.0,431.0,13.0,11.0,1.0,4.0,25.0,14.0,32.0,32.0,6.0,0.0,1.0,0.0,55.0,15.0,113.0,17.7,50.4,11.0,5.0,0.0,436.0,17.0,12.0,1.0,5.0,24.0,10.0,13.0,24.0,0.0,1.0,1.0,0.0,44.0,13.0,124.0,8.9,49.6
15020107,23.0,4.0,1.0,579.0,30.0,14.0,3.0,10.0,34.0,15.0,11.0,19.0,2.0,3.0,0.0,0.0,54.0,36.0,135.0,17.0,63.0,6.0,2.0,0.0,294.0,11.0,7.0,3.0,2.0,19.0,10.0,17.0,35.0,1.0,3.0,4.0,0.0,35.0,7.0,115.0,5.2,37.0
15021812,8.0,3.0,0.0,595.0,18.0,10.0,3.0,2.0,31.0,17.0,31.0,15.0,9.0,2.0,0.0,0.0,47.0,10.0,151.0,5.3,58.7,12.0,5.0,0.0,389.0,8.0,11.0,3.0,3.0,26.0,12.0,29.0,34.0,6.0,3.0,0.0,0.0,33.0,12.0,145.0,8.3,41.3
15021046,10.0,4.0,0.0,565.0,13.0,8.0,0.0,1.0,10.0,8.0,18.0,38.0,3.0,1.0,0.0,0.0,37.0,8.0,100.0,10.0,50.1,10.0,2.0,0.0,563.0,18.0,4.0,1.0,5.0,20.0,8.0,12.0,15.0,3.0,0.0,0.0,0.0,58.0,15.0,106.0,9.4,49.9
15022903,17.0,4.0,0.0,235.0,12.0,12.0,1.0,3.0,25.0,10.0,24.0,40.0,2.0,1.0,1.0,0.0,38.0,12.0,116.0,14.7,36.2,15.0,4.0,0.0,486.0,11.0,10.0,1.0,10.0,27.0,15.0,18.0,23.0,1.0,1.0,4.0,1.0,31.0,10.0,125.0,12.0,63.8
15034601,12.0,5.0,0.0,157.0,11.0,14.0,0.0,6.0,17.0,5.0,14.0,61.0,3.0,3.0,0.0,0.0,17.0,10.0,119.0,10.1,32.1,18.0,5.0,0.0,594.0,29.0,9.0,3.0,11.0,28.0,14.0,19.0,26.0,2.0,0.0,2.0,0.0,67.0,25.0,130.0,13.8,67.9
15030708,17.0,10.0,0.0,387.0,24.0,13.0,3.0,12.0,22.0,13.0,21.0,18.0,5.0,3.0,4.0,0.0,46.0,21.0,126.0,13.5,52.6,12.0,7.0,1.0,325.0,7.0,17.0,3.0,3.0,23.0,12.0,23.0,40.0,4.0,3.0,1.0,1.0,26.0,8.0,128.0,9.4,47.4
15037833,15.0,3.0,0.0,402.0,13.0,11.0,5.0,9.0,29.0,11.0,23.0,13.0,3.0,1.0,2.0,0.0,39.0,18.0,155.0,9.7,51.7,3.0,1.0,0.0,358.0,5.0,15.0,1.0,2.0,16.0,6.0,27.0,19.0,1.0,4.0,0.0,0.0,25.0,7.0,131.0,2.3,48.3
15032229,15.0,4.0,0.0,357.0,13.0,17.0,2.0,4.0,20.0,8.0,14.0,28.0,2.0,0.0,4.0,0.0,32.0,13.0,123.0,12.2,48.9,10.0,0.0,0.0,378.0,17.0,14.0,0.0,2.0,27.0,7.0,21.0,31.0,2.0,2.0,0.0,0.0,31.0,9.0,128.0,7.8,51.1
15030905,12.0,5.0,0.0,377.0,3.0,18.0,0.0,2.0,20.0,10.0,19.0,18.0,1.0,3.0,1.0,0.0,19.0,6.0,107.0,11.2,41.5,13.0,2.0,0.0,580.0,13.0,21.0,3.0,2.0,18.0,7.0,12.0,13.0,3.0,0.0,2.0,0.0,53.0,10.0,103.0,12.6,58.5
15035418,13.0,3.0,0.0,328.0,14.0,10.0,2.0,7.0,32.0,10.0,20.0,20.0,6.0,2.0,0.0,0.0,37.0,14.0,126.0,10.3,40.8,11.0,3.0,1.0,557.0,22.0,6.0,3.0,5.0,27.0,19.0,25.0,23.0,7.0,2.0,0.0,0.0,48.0,12.0,120.0,9.2,59.2
15031228,9.0,6.0,0.0,638.0,13.0,8.0,1.0,3.0,16.0,14.0,17.0,18.0,1.0,2.0,0.0,0.0,80.0,10.0,115.0,7.8,54.8,8.0,2.0,1.0,471.0,17.0,11.0,2.0,3.0,17.0,10.0,25.0,22.0,9.0,0.0,0.0,0.0,38.0,9.0,121.0,6.6,45.2
15031121,15.0,4.0,0.0,431.0,6.0,9.0,3.0,3.0,14.0,17.0,15.0,30.0,7.0,4.0,0.0,0.0,38.0,14.0,91.0,16.5,42.1,19.0,8.0,0.0,687.0,14.0,15.0,4.0,9.0,22.0,9.0,13.0,11.0,2.0,3.0,1.0,0.0,61.0,16.0,108.0,17.6,57.9
15030310,26.0,9.0,1.0,633.0,16.0,9.0,2.0,9.0,18.0,17.0,17.0,8.0,4.0,2.0,0.0,0.0,60.0,27.0,120.0,21.7,61.2,13.0,4.0,0.0,342.0,5.0,16.0,2.0,3.0,6.0,16.0,24.0,20.0,6.0,2.0,1.0,0.0,30.0,8.0,114.0,11.4,38.8
15060933,15.0,5.0,1.0,602.0,9.0,11.0,1.0,3.0,23.0,14.0,20.0,18.0,4.0,0.0,0.0,0.0,50.0,15.0,106.0,14.2,61.0,9.0,2.0,0.0,316.0,11.0,7.0,1.0,6.0,21.0,7.0,14.0,20.0,4.0,1.0,0.0,0.0,29.0,7.0,114.0,7.9,39.0
15042846,9.0,0.0,0.0,519.0,26.0,8.0,2.0,9.0,23.0,21.0,15.0,12.0,2.0,1.0,2.0,0.0,61.0,16.0,108.0,8.3,61.2,9.0,2.0,0.0,241.0,9.0,9.0,2.0,3.0,21.0,5.0,16.0,33.0,1.0,2.0,0.0,0.0,20.0,7.0,109.0,8.3,38.8
15040122,17.0,5.0,0.0,423.0,13.0,12.0,1.0,6.0,32.0,21.0,21.0,22.0,5.0,3.0,2.0,0.0,31.0,17.0,131.0,13.0,50.3,8.0,5.0,0.0,458.0,14.0,16.0,3.0,4.0,22.0,15.0,35.0,19.0,5.0,1.0,3.0,0.0,28.0,9.0,123.0,6.5,49.7
15042107,20.0,8.0,0.0,718.0,20.0,17.0,3.0,9.0,24.0,16.0,17.0,15.0,2.0,9.0,1.0,0.0,60.0,22.0,129.0,15.5,67.9,13.0,5.0,0.0,238.0,8.0,10.0,10.0,3.0,15.0,5.0,25.0,28.0,5.0,3.0,1.0,0.0,26.0,12.0,109.0,11.9,32.1
15040803,12.0,4.0,0.0,349.0,11.0,6.0,3.0,3.0,13.0,12.0,23.0,35.0,1.0,2.0,1.0,0.0,28.0,13.0,110.0,10.9,42.0,15.0,4.0,0.0,603.0,20.0,14.0,2.0,7.0,17.0,13.0,19.0,11.0,1.0,3.0,0.0,1.0,51.0,16.0,119.0,12.6,58.0
15043312,13.0,4.0,0.0,405.0,11.0,18.0,2.0,4.0,18.0,10.0,19.0,9.0,2.0,7.0,1.0,0.0,35.0,11.0,132.0,9.8,50.0,8.0,2.0,0.0,421.0,12.0,12.0,7.0,0.0,23.0,7.0,14.0,16.0,2.0,2.0,0.0,0.0,37.0,5.0,134.0,6.0,50.0
15041809,13.0,3.0,0.0,358.0,19.0,7.0,2.0,7.0,22.0,13.0,36.0,16.0,4.0,2.0,1.0,1.0,38.0,12.0,111.0,11.7,42.3,16.0,5.0,0.0,590.0,9.0,16.0,2.0,3.0,23.0,15.0,24.0,27.0,0.0,2.0,0.0,0.0,54.0,16.0,115.0,13.9,57.7
15045411,15.0,1.0,0.0,300.0,23.0,13.0,5.0,11.0,28.0,8.0,13.0,24.0,0.0,3.0,0.0,0.0,43.0,10.0,132.0,11.4,41.6,9.0,2.0,0.0,460.0,13.0,13.0,4.0,5.0,28.0,11.0,15.0,32.0,1.0,4.0,4.0,0.0,31.0,8.0,127.0,7.1,58.4
15041005,10.0,5.0,1.0,466.0,11.0,12.0,0.0,1.0,15.0,11.0,29.0,17.0,1.0,0.0,1.0,0.0,35.0,4.0,87.0,11.5,39.4,9.0,1.0,0.0,739.0,16.0,9.0,0.0,0.0,15.0,12.0,12.0,15.0,2.0,0.0,1.0,0.0,45.0,10.0,87.0,10.3,60.6
